Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.560500,3.114000,180.000000,top
R2,22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-2.400000,0.320000,270.000000,top
U1,SN74LVC1T45DBV,SOT-23-6,1.410000,-2.474000,270.000000,top
